	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
206	0	 (Chairman) John Gilpin	 1992 ‘	 President George H.W. Bush	N / A	 Special Counsel, Office of the County Executive, Jefferson	N / A	 Attomey, Brown, Todd & Heyburn PLLC (1976-1992) Military Service: United States Army Reserve, United States Department the Army (1970-1976)	 American Bar Associations Kentucky Bar Association; Louisville Bar Association; Louisville Bar Foundation, Louisville Bar Association
71	1	 (part-time) David J	 October 9, 2001	N / A	N / A	N / A	N / A	 Private Practice - Litigation 7 Military Service: United States Marine Corps	 West Virginia Bat Association; West Virginia State Bar- Pe . . . 
37	2	 (part-time) James G.	 November 16, 2004	N / A	N / A	 Assistant U.S. Attorney (1969-1972)	N / A	 Partner, Timaercake, Smith, Thomas & Moses, BC. -	N / A
99	3	 (part-time) James K.	 2004	N / A	N / A	N / A	N / A	N / A	 State Bar of Montana; Wyoming Bar Association
85	4	 (part-time) James R.	 December 1991	N / A	N / A	N / A	N / A	N / A	N / A
100	5	 (part-time) R. Michael	N / A	N / A	N / A	N / A	N / A	N / A	N / A
101	6	 (part-time) Teresa M.	 July 2006	 President George W. Bush	N / A	N / A	N / A	 Attorney, Moffat & McKee, BC.	N / A
92	7	 (part-time) Theresa M.	 March 5, 2004	N / A	N / A	N / A	N / A	N / A	N / A
98	8	 (part-time} Robert W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
102	9	 (recailed/part-time)	 January 1, 1973	N / A	N / A	N / A	 Magistrate Judge (part-time), United States District Court for the	N / A	 Federal Magistrate Judges Association; Fremont County Bar Association; Wyoming Bar Association; Wyoming Trial Lawyers Association Udicial Yellow Book Judicial Yellow Bee © Leadership Directories, Inc. Summer 2008 | FEDERAL COURTS~UNITED STATES DISTRICT COURTS i ners FEDERAL COURTS—UNITED STATES DISTRICT COURTS 534 United States Bankruptcy Court for the District of Wyoming United States Bankruptcy Court for the District of Wyoming 2120 Capitol Avenue, Suite 6004, Cheyenne, WY 82001-3633 Tel: (307) 433-2200 Tel: (307) 433-2238 (VCIS) Tel; (888) 804-5537 (Toll Free VCIS) Internet: www.wyb-.uscourts.gov Number of Judgeships: |
23	10	 (recalled) William T.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
84	11	 Aaron E. Goodstein	N / A	N / A	N / A	N / A	N / A	N / A	N / A
124	12	 Aida M. Delgado-Colé	 November 1, 1994	 President William J. Clinton mbers of District Judge Francisco Augusto	N / A	N / A		 Associate Counsel, Hector M. Laffitte Law Offices (1970-1973); Partner, Lafitte & Dominguez Law Offices (1973-1980); Partner, Laffitte, Dominguez & Totti Law Offices (1980-1983); Partner, Dominguez & Totti Law Offices (1983-1994) Military Service: United States Army Reserve, United States Department of the Army	 American Bar Association; Association of Labor Relations Practitioners; Bar Association of Puerto Rico; Puerto Rico Chapter, Federal Bar Association Aida M. Delgado-Colén District Judge Education: Puerta Rico 1977 BBA; Catholic UJ 1980 JD Began Service: March 20, 2006 Appointed By: President George W. Bush Academic: Adjunct Professor, School of Law, Pontifical Catholic University of Puerto Rico (2003-2004) Goverment: Legal Investigator, Labor and Human Resources Department, Commonwealth of Puerto Rico (1980-1981}; Director of Research and Investigations, Labor and Human Resources Department, Commonwealt of Puerto Rico (1981-1982); Assistant Federal Public Defender, United States District Court for the District of Puerto Rico-(1982-1988); First: Assistant Federal Public Defender, United States District Court for the District of Puerto Rico (1988-1993); Acting Federal Public Defender, United States District Court for the District of Puerto Rico (1991) Judicial: Magistrate Judge, United States District Court for the District Puerto Rico (1993-2006) 
96	13	 Alan B. Johnson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
180	14	 Alan G. Lance, Sr. or 	N / A	 President George W. Bush	N / A	N / A	N / A	N / A	N / A
115	15	 Alan Kay .	 1991	N / A	N / A	 Public Defender, District of Columbia (1960-1962); Assistant	N / A	 Bregman, Abell & Kay (1967-1991) Military Service: District of Columbia National Guard	 The American Inns of Court; The District of Columbia Bar Association; National Conference of Bar Examiners; The Virginia Bar Association : :
167	16	 Andrew S. Effron	 1996 : :	 President William J. Clinton	N / A	 Legislative Aide (R-WI, District 6), Office of Represeniatiy	N / A	N / A	N / A
205	17	 Anthony J. Scirica	N / A	N / A	N / A	N / A	N / A	N / A	N / A
197	18	 Arthur L. Nims Ul - or 	 June 18, 1984	 President Ronald Reagan	N / A	N / A	N / A	N / A	N / A
91	19	 Barbara B. Crabb	N / A	N / A	N / A	N / A	N / A	N / A	N / A
