	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
106	0		 December 13, 1991	 President George H.W. Bush	N / A	 Staff Attorney, Antitrust Division, United States Department of Justice (1963-1965)	 Associate Judge, Illinois Cireuit Court, 10th Judicial Circuit (1982-1988); Judge, Illinois Circuit Court (1988-1991)	 Executive Director, Greater Peoria Legal Aid Society (1965-1969); Partner, Hafele & McDade (1968-1977): Private Practice (1977-1982)	 Peoria County Bar Association
343	1	 (part-time) Mary Kay	 January 3, 2003	N / A	N / A	N / A	N / A	N / A	N / A
100	2	 (part-time) Michael G.	 November 1995	N / A	N / A	N / A	N / A	 Lorch & Naville (1987-2006)	 American Academy of Adoption Attorneys; Floyd County Bar; Indiana State Bar; Indiana State Bar Association Land Use Planning Section; Sherman Minton American Inn of the Court
215	3	 (part-time) Robert H.	 April 4, 1984	N / A	N / A	 Assistant United States Attorney, Western District of	N / A	 Seale, Smith, Baine & Phelps (1967-1970)	 Louisiana Bar Association; Shreveport Bar Association
247	4	 (part-time) Victor FH.	 March 22, 1988	N / A	N / A	N / A	N / A	 Partner, Long, Laws, Hughes & Bahen (1978-1984); Partner, Laws & Laws (1984-1994); Partner, Laws, Laws & Smith (1995-1997); Partner, Laws & Laws (1997-2002)	 American Bar Association; Maryland State Bar; Wicomico County Bar Association 
224	5	 (part-time) William 5.	 January 1, 1979	N / A	N / A	 Chief Deputy Clerk, United States District Court for the	N / A	N / A	N / A
101	6	 (part-time} Jordan D.	 May 1979	N / A	N / A	N / A	N / A	 Lewis & Lewis (1959-1997) Military Service: United States Army (1952-1955)	 Federal Magistrate Judges’ Association; Indiana State Bar Association; Seventh Circuit Bar Association United States Bankruptcy Court for the Southern District of Indiana 116 U.S. Courthouse, 46 East Ohio Street, Indianapolis, IN 46204 P.O. Box 44978, Indianapolis, IN 46244 Tel: (317) 229-3800 Tel: (317) 229-3888 (Voice Case Info System (VCIS)) Fax: (317) 229-3801 Internet: www.insb.uscourts.20v Number of Judgeships: 4
14	7	 (recalied) William ¥. Os E-mail: Donald_Sippel@ilnd uscoutts gov Fax: (312) 554-8549	 June 20, 2000 Fax: (312) 435-5545	N / A	N / A	N / A	N / A	N / A	N / A
89	8	 (recall) Kent Lindquist	 May 1985	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptey Court for the	N / A	N / A
254	9	 (recalled) E. Stephen	 December 9, 1987	N / A	N / A	 Assistant Attorney General, State of Maryland (1971-1973)	N / A	 Associate, Piper & Marbury (1966-1971); Partner, Piper & Marbury (1973-1987)	 American Bankruptcy Institute; Anne Arundel County Bar Association; Bankruptcy Bar Association of Maryland; Maryland Bar Association; Paca-Brent American Inn of Court
155	10	 (recalled) Joe Lee	 September 1, 1961	N / A	N / A	 Counsel, Subcommittee on Children’s Mental Health, United	N / A	N / A	 National Bankruptcy Conference; American Bar Foundation; American College of Bankruptcy
62	11	 (recalled) John D.	 November 2, 1984	N / A	N / A	 Assistant United States Attorney, Northern District of	N / A	 Private Practice i	 American Bankruptcy Institute; American Bar Association; American College of Bankruptcy, Fellow; Chicago Bar Association; Federal Bar Association; Lawyer’s Club of Chicago; National Conference of Bankruptcy Judges
99	12	 (recalled) John P.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
98	13	 (recalled) Kennard P.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
312	14	 (recalled) Walter	 July 15, 2002	N / A	N / A	N / A	N / A	N / A	 American Bar Association; American Judicature Society; Detroit Bar Association; Michigan State Bar; National Conference of Bankruptcy Judges
73	15	 (visiting) James K.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
74	16	 (visiting) Pamela	N / A	N / A	N / A	N / A	N / A	 Kavanagh, Scully, Sudow, White & Frederick (1964-1985)	N / A
