	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
112	0	 (Recalled) Amol,	 1975	N / A	N / A	N / A	N / A	N / A	 American Bar Associations Pennsylvania 5 Association
111	1	 (Recalled) M. Faith	 May 14, 1990	N / A	N / A	 Chief Social Worker, Defender Association of Philadetphia, Assistant District Attorney, Office of the District Attorney, City of Phifadelphia, Pennsylvania (1971-1972); Assistant Attarney General, Commonwealth of Pennsylvania (1972-1974); Deputy Attorney General, Office of the Attorney General, Commonwealth of Pennsylvania (1974-1978); Regional Counsel, Interstate Commerce Commission (1978-1980); Regional Director, Interstate Commerce Commission (1980-1988), Administrative Law Judge, Office of Hearings and Appeals, ° Social Security Administration (1988-1990)	 Magistrate Judge, United States District Court for the Eastern	N / A	 Academy of Certified Social Workers; Federal Magistrate Judges Association; National Association of Women Judges; Philadelphia Bar Association
113	2	 (Recalled) Peter	N / A	N / A	N / A	N / A	N / A	N / A	N / A
150	3	 (part-time) Keith A.	 1994	N / A	N / A	N / A	N / A	N / A	N / A
189	4	 (part-time) Mexonioak E	 September 1, 2000	N / A	N / A	N / A	N / A	 Woods Law Firm , .	N / A
187	5	 (part-time) Myles	N / A	N / A	N / A	N / A	N / A	N / A	N / A
74	6	 (part-time) Patricia	 September 2005	N / A	N / A	N / A	N / A	N / A	N / A
252	7	 (part-time) Robert K.	 April 1980	N / A	N / A	N / A	N / A	N / A	 American Bar Association; College of the State Bar of Texas; State Bar of Texas; Wichita Bar Association 
179	8	 (part-time) Robert L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
60	9	 (part-time) Shon T.	 June 1, 1995	N / A	N / A	N / A	N / A	N / A	N / A
156	10	 (recalled) Bernard	 1985	N / A	N / A	 Assistant District Attorney, Office of the District Attorney,	N / A	 Private Practice (1965-1985) Military Service: United States Navy (1984)	 Allegheny County Bar Association; American Judges Association; National Conference of Bankruptcy Judges; Pennsylvania Bar Association FEDERAL COURTS-UNITED STATES DISTRICT COURTS 
35	11	 (recalled) Burton,	 1976	N / A	N / A	N / A	 Magistrate Judge, United States District Court (1971-1976) -	 Private Practice (1952-1971); Private Practice (1958.1 i Military Service: United States Army (1944-1946)	 American Bar Association; Cincinnati Bar Association; Federal Bar Association
36	12	 (recalled) Donald	 May 2, 1985	N / A	N / A	N / A	N / A	 Private Practice (1951-1968); Partner, Folkerth, Cathoun Webster, Maurer & O’Brien (1968-1982); Partner, Guren, Merritt, Feibel;: Sogg & Cohen (1982-1984); Counsel, Lane, Alton & Horst LLC (1984-1985) Military Service: United States Naval Reserve (1944-1946)	 American Judicature Society; Columbus Bar - Association
217	13	 (recalled) James H	N / A	N / A	N / A	N / A	N / A	N / A	N / A
75	14	 (recalled) John	 July 11, 1992	N / A	N / A	N / A	 Judge, Oregon Circuit Court	N / A	N / A
61	15	 (recalled) Ronaly L	N / A	N / A	N / A	N / A	N / A	N / A	N / A
155	16	 (recalled} Warren W.	 March 22, 1985	 President Ronald Reagan	N / A	 Borough Solicitor, Office of the Borough Solicitor	N / A	 Private Practice (1954-1985) Military Service: United States Naval Reserve (1943-1946)	 American Bar Association; American Judicature Society; Erie County Bar Association (PA); Pennsylvania Bar Association
245	17	 A. Joe Fish	N / A	N / A	N / A	N / A	N / A	N / A	N / A
126	18	 A. Richard Caputo	N / A	N / A	N / A	N / A	N / A	N / A	N / A
145	19	 Alan N. Bloch	 November 2.1, 1979	 President Jimmy Carter	N / A	N / A		 Wirtzman, Sikov & Love (1959-1969); Partner, Flaherty & Bloch (1969-1979) Military Service: United States Army (1953-1955); Pennsylvania Army National Guard (1955-1959); United States Air Force Reserve (1959-1963)	 Academy of Trial Lawyers of Allegheny County; American Bar Association Statf Law Clerk Darren O'Neill... 22... ..0.--.0---.00000000. (412) 208-7360 Education: Notre Dame 2000 JD Law Clerk Charles Schweitzer.................-.... (412) 208-7360 Secretary Karen M. Wilson ...............0..0...005. (442) 208-7360 Ghambers of Senior Judge William L. Standish US. Post Office and Courthouse Building, 700 Grant Street, Room 6170, Pittsburgh, PA 15219-1906 ‘ Tel: (412) 208-7430 Fax: (412) 208-7437 E-mail: Judge_William_Standish@pawd.uscourts.gov William L. Standish Senior Judge Date of Birth: 1930 Education: Yale 1953 BA; Virginia 1956 LLB Began Service: November 30, 1987 Appointed By: President Ronald Reagan Judicial: Judge, Pennsylvania Court of Common Pleas, Allegheny County (1980-1987) Legal Practice: Attorney, Reed Smith Shaw & McClay LLP (1956-1980) 
77	20	 Albert E. Radcliffe	 December 1983	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptcy Court for the District of Oregon (1999-2005)	 Private Practice (1973-1986) Military Service: United States Army (1967-1977)	 Lane County Bar Association; National Conference of Bankruptcy Judges; Oregon State Bar Association
202	21	 Aleta Arthur Trauger	N / A	N / A	N / A	N / A	N / A	N / A	N / A
16	22	 Algenon L. Marbley	 November 11, 1997	 President William J. Clinton	N / A	 Assistant General Counsel, Office of the Regional Attorney	N / A	 Associate, James D. Montgomery and Associates (1979-1981); Associate, Vorys, Sater, Seymour and Pease (1986-1991 ¥ Partner, Vorys, Sater, Seymour and Pease (1991-1997)	 American Bar Association; Columbus Bar Association; National Bar Association; National Institute of Trial Advoca Ohio State Bar Association
290	23	 Alia M. Ludlum	 November 18, 2002	 President George W. Bush	N / A	 Trial Attorney and Chief of Appellate Section, Office of the County Attorney, County of Travis , Texas (1986-1990); Trial Attorney and Chief of Del Rio Division, Western District of Texas, United States Attorney’s Office, United States Department of Justice, George H.W. Bush Administration (1990-1997)	 Magistrate Judge, United States District Court for the Western	N / A	 Federal Magistrate Judges Association; Fifth Circuit Bar Association; Hispanic National Bar Association; State Bar of Texas; Val Verde County Bar Association
148	24	 Amy Reynolds Hay	N / A	N / A	N / A	N / A	N / A	N / A	N / A
63	25	 Ancer Lee Haggerty	 March 1994	 President William J. Clinton	N / A	 Staff Attorney, Metropolitan Public Defender (1977-1983)	 Judge, Oregon District Court (1989-1990); Judge, Oregon Circuit Court, Mulinomah County (1990-1994)	 Souther, Spaulding, Kinzey, Williamson & Schwabe	N / A
184	26	 Andrew W. Bogue	 May 1, 1970	 President Richard M. Nixon	N / A	 State’s Attorney, Turner County, State of South Dakota (1952-1954)	 Judge, South Dakota Circuit Court, Second Judicial Circuit (1967-1970)	 Partner, Bogue & Bogue (1947-1957); Partner, Bogue & Ziromer (1954-1957); Private Practice (1957- 1959); Partner, Bogue & Rudolph (1959-1967) Military Service: United States Army (1943-1946); United States Army (1950-1952)	 Federal Judges Association, Pennington County Bar Association; State Bar of South Dakota
84	27	 Anita B. Brody	 1992	 President George H'W. Bush	N / A	 Law Apprentice and Deputy Assistant Attorney General, State of New York (1958-1959)	 Judge, Pennsylvania Court of Common Pleas, 38th Judicial District (1981-1992)	 Duryea, Lazalere & Hepburn (1973-1979); Private Practice (1979-1980); Partner, Brody, Brown & Hepburn (1980-1981) Nonprofit: Member, Board of Visitors, Columbia Law School, Columbia University (2004-2006)	 The Temple American Inn of Court, The American Inns of Court; American Judicature Society; The American Law Institute; National Association of Women Judges; Pennsylvania Bar Association
