	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
264	0	 (Recalled). Leslie G	 February 1, 1991	N / A	N / A	 Assistant District Attorney, Office of the District Attorney,	N / A	 Buffalo Partner, Cohen Swados Wright Pinning Bradford & Brett (1978-1981)	 American Bar Fonndation, American Bae , / Association; Bar Association of Erie County; Federal Magistrate Judges Association; New York Bar Foundation, The New York State Bar Associatio
298	1	 (part-time) Alice R.	 November 15, 1996	N / A	N / A	N / A	N / A	N / A	N / A
130	2	 (part-time) Anthony R.	 October 12, 2000	N / A	N / A	 Assistant Prosecutor, County of Essex, New Jersey (1969); Chief of Homicide, County of Essex, New Jersey (1972-1978); First Assistant Prosecutor, County of Essex, New Jersey (1976-1978) Legal Practice: Partner, Mautone & Horan, PA. Current Memberships: The Seton Hall Alumni American Inn of Court, The American Inns of Court; Essex County Bar Association;: Federal Bar Association; New Jersey State Bar Association Staff Office Manager Lorraine Cole. ...................--- (973) 325-5900 Receptionist Kim Kukue...........2.0.0..0..000 000) (973) 325-5900 Secretary Angela DiAndrea...............-2......-. (973) 325-5900 United States Bankruptcy Court for the District of New Jersey Martin Luther King, Jr. Federal Building & U.S. Courthouse, 50 Walnut Street, 3rd Floor, Newark, NJ 07102 PO. Box 1352, Newark, NJ 17101-1352 Tel: (973) 645-4764 (Phone) Tel: (973) 645-3555 (PACER) Tel: (973) 645-6045 (VCIS) Internet: www.njb.uscourts. gov Number of Judgeships: 9 Court Staff . Clerk of Court James J. Waldron. ......0...........- (973) 645-2630 Chief Deputy Clerk Seott R. Liddle .................. (609) 989-2128 Clarkson §. Fisher Federal Bldg. & U.S. Courthouse, 402 E, State St., Trenton, NJ 08608 Deputy-in-Charge - Camden Mary Shashaty........... (856) 757-5485 RO. Box 2067, Camden, NJ 08102-2067 Deputy-in-Charge - Newark Sandra Radice... . (973) 645-2630 ext. 2235 Deputy-in-Charge - Trenton Dennis Norton............ (609) 989-2128 Clarkson 8. Fisher Federal Bldg. & U.S. Courthouse, 402 E. State St., Trenton, NJ 08608 Date of Birth: 1949 Education: Rutgers 1971 BA; Rutgers (Camden} 1974 JD per: Began Service: September 5, 1985 Term Expires: September 4, 2013 Clerkships: Law Clerk The Honorable Michael Ealick King, New Jer Superior Court (1974) 		 Partner, Mautone & Horan, PA.	 The Seton Hall Alumni American Inn of Court, The American Inns of Court; Essex County Bar Association;: Federal Bar Association; New Jersey State Bar Association 
128	3	 (part-time) Edward R.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
154	4	 (part-time) Kea Riggs	N / A	N / A	N / A	N / A	N / A	N / A	N / A
199	5	 (part-time) Larry A	 January 24, 2002	N / A	N / A	N / A	N / A	 Larry A. Kudrle, Esq. Law Guardian Office Military Service: Lt. Colonel, United States Air Force (1974-1904)	 Clinton County Bar Association 
246	6	 (part-time) Martin fi	N / A	N / A	N / A	N / A	N / A	N / A	N / A
5	7	 (part-time) Mary Kay	 January 3, 2003	N / A	N / A	N / A	N / A	N / A	N / A
153	8	 (part-time) Robert W.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
74	9	 (recailed) John L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
188	10	 (recalied} Dorothy	N / A	N / A	N / A	N / A	N / A	N / A	N / A
254	11	 (recalled) Burton R.	 1980	N / A	N / A	N / A	 Chief Judge, United States Bankruptcy Court for the Southern	N / A	 American College of Bankruptcy; The Association of the Bar of the City of New York; Federal Bar Association; National ~ Conference of Bankruptcy Judges; New York County Lawyers’ Association 
72	12	 (recalled) Robert M.	 January 2001	N / A	N / A	N / A	N / A	N / A	N / A
155	13	 (recalled): Don J.	 1993	N / A	N / A	N / A	N / A	N / A	N / A
274	14	 A. Thomas Small	N / A	N / A	N / A	N / A	N / A	N / A	N / A
248	15	 Adlai S. Hardin, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
147	16	 Alan C. Torgerson	 March 3, 2003	N / A	N / A	N / A	N / A	 Founding Director, Miller Stratvert PA. (1978-2003)	 Federal Magistrate Judges Association
252	17	 Alian L. Gropper	 October 4, 2000	N / A	N / A	N / A	N / A	 Civil Appeal Bureau, Legal Aid Society (1969-1971);	N / A
160	18	 Allyne R. Ross	 1994	 President William J, Clinton	N / A	 Assistant United States Attorney and Chief Eastern District of New York, Appeals Division, Office of the United States Attorney, United Department of Justice (1976-1986)	 Magistrate Judge, United States District Court for the Eastern District of New York (1986-1994)	 Associate, Paul, Weiss, Rifkind, Wharton & Garrison LLP (1971-1976)	 The Association of the Bar of the City of New York; Federal Bar Council
211	19	 Alvin K. Hellerstein	 November 30, 1998	 President William J. Clinton	N / A	N / A	N / A	 Stroock & Stroock & Lavan LLP (£960-1998) Military Service: United States Army (1957-1960)	 The American Association of Jewish Lawyers and Jurists; American Bar Association; American Bar Foundation, American Bar Association; The American Law Institute; The Association of the Bar of the City of New York; Federal Bar Council; International Association of Jewish Lawyers and Jurists; The New York State Bar Association
237	20	 Andrew J. Peck	N / A	N / A	N / A	N / A	N / A	N / A	N / A
123	21	 Ann Marie Donio	 March 24, 2003	N / A	N / A	 Assistant US. Attorney, District of New Jersey, U.S.	N / A	 Associate, Pepper, Hamilton & Scheety (1986-1987)	 Historical Society for the United States District - Court for the District of New Jersey; The John C. Lifland American Inn of -Court, The American Inns of Court: Federal Magistrate Judges Association
117	22	 Anne E. Thompson	 1979	 President Jimmy Carter	N / A	 Staff Attorney, Office of the Solicitor, United States Department of Labor (1964-1965); Assistant Deputy Public Defender, State of New Jersey (1967-1970); Municipal Prosecutor, Office of the Municipal Prosecutor, Township of Lawrence, New Jersey (1970-1972); Prosecutor, Office of the County Prosecutor, County of Mercer, New Jersey (1975-1979)	 Judge, Trenton Municipal Court (1972-1975); Chief Judge, United States District Court for the District of New Jersey (1994-2001)	 Private Practice (1971-1975)	 American Bar Association; Mercer County Bar Association; New Jersey State Bar Association
65	23	 Arthur Federman Appointed By: President George W. Bush		 President George W. Bush	N / A	 Trial Attomey, Antitrust Division, United States Department, Education: Montana 2004 JD	N / A	 Linde, Thompson, Langworthy, Kohn & Van Dyke	N / A
249	24	 Arthur J. Gonzalez	 October 10, 1995	N / A	N / A	N / A	N / A	N / A	N / A
47	25	 Audrey G. Fleissig	 August 3, 2001	N / A	N / A	N / A	N / A	N / A	N / A
208	26	 Barbara S. Jones	N / A	N / A	N / A	N / A	N / A	N / A	N / A
48	27	 Barry S.	 1986	N / A	N / A	N / A	N / A	N / A	N / A
167	28	 Brian M. Cogan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
87	29	 Brian Sandoval	N / A	N / A	N / A	N / A	N / A	N / A	N / A
95	30	 Bruce A. Markell	N / A	N / A	N / A	N / A	N / A	N / A	N / A
138	31	 Bruce D. Black ation: New Mexico 1996 JD	N / A	N / A	N / A	N / A	N / A	N / A	N / A
144	32	 C. LeRoy Hansen	 October 1992	 President George H.W. Bush	N / A	N / A	N / A	 Snead & Hansen (1962-1964); Civerolo, Hi Staff PA, (1964-1992) ;	 Albuquerque Bar Association, American Board 9 Femail) skane@amogurefedus Trial Advocates; American College of Trial Lawyers; State Bar of New Education: New Mexico 2002 Mexico Law Clerk Benjamin Scotti............... 0.0040 (505) 348-2214 Began Service: 2007
290	33	 Carl Horn, Ill.	 April 3, 1993	N / A	N / A	 Special Assistant to the Assistant Attorney General, Cwil	N / A	 Grier, Parker, Poe, Thompson, Bernstein, Gage & Preston	N / A
184	34	 Carla E. Craig	 February 28, 2000	N / A	N / A	N / A	N / A	 Associate, Milbank, ‘Tweed, Hadle: é , : y & McCloy LLP (1980-1983); Partner, Hertzog, Calamari & Gleason (1983-1998); Partner, Brown Raysman Millstein Felder & Steiner LLP (1998-2000) ,	 American Bar Association; The Association of the Bar of the City of New York; Brooklyn Bar Association; National Conference of Bankruptcy Judges ~
152	35	 Carmen E. Garza	N / A	N / A	N / A	N / A	N / A	N / A	N / A
158	36	 Carol Bagley Amon	 1990	 President George H.W. Bush	N / A	N / A	 Magistrate Judge, United States District Court for the Eastern	N / A	 The District of Columbia Bar Association; Virginia State Bar
34	37	 Carol E. Jackson	N / A	N / A	N / A	N / A	N / A	N / A	N / A
71	38	 Carolyn S. Osthy : aohulan@inideverrcont	 1974	N / A	N / A	 Attorney-Advisor, Office of Legal Counsel, United States. .	N / A	 Partner, Crowley, Haughey, Hanson, Toole & Dietrich, PL.L.P (1980-2001)	 American Bar Association; American Bar Foundation, American Bar Association; American College of Trial Lawyel® American Judicature Society; Cascade County Bar Association; State Bar? Montana hambers of Magistrate Judge (recalled) Richard W. nderson 416 North 26th Street, Room 5405, Billings, MT 59101 Tet’ (406) 247-7000 Mail: richard_anderson@mtd.uscourts.gov Richard W. Anderson ~ 48istrate Judge (recalled}
37	39	 Catherine D. Perry	 October 21, 1994 , i	 President William J. Ctinton lerk Alison Esbeck.................0...20000. (314) 244-7465	N / A	N / A	 Magistrate Judge, United States District Court for the Eastern:	N / A	 American Bar Association; The Bar Association Metropolitan St. Louis; Federal Judges Association; Federal Magistrate © Judges Association; The Missouri Bar; National Association of Women | Judges; Women Lawyers’ Association of Greater St. Louis Jerk Jessica Gunder .... 0.0.2 (314) 244-7464 J lucation: Missouri 2007 JD / rcial Assistant Betty Ann Bonner................. (314) 244-7461 ambers of District Judge Rodney W. Sippel mas F. Eagleton U.S. Courthouse, 111 South Tenth Street, . Eouis, MO 61302 (314) 244-7430 Fax: (314) 244-7439 
250	40	 Cecelia G. Morris	 July 1, 2000	N / A	N / A	 Clerk of Court, United States Bankruptcy Court for the	N / A	N / A	N / A
36	41	 Charles A. Shaw	N / A	N / A	N / A	N / A	N / A	N / A	N / A
70	42	 Charles C. Lovell	 April 1985	 President Ronald Reagan	N / A	 Chief Counsel, Appellate Division, Office of the Aton General, State of Montana (1969-1972)	 District Judge, United States District Court for the District of Montana (1985-2000)	 Church, Harris, Johnson & Williams (1959-1985) Military Service: United States Air Force (1952-1954)	 American Association for Justice; American Baz Association; American College of Mortgage Attorneys; American Fudica Society; Cascade County Bar Association; Montana Defense Counsel Association; Montana Trial Lawyers Association; State Bar of Montana - aw Clerk Timothy G. Line.............-..... (406) 342-7281 of Magistrate Judge Keith Strong elf Smith Courthouse, 201 East Broadway, Missoula, MT 59802 - (06).727-0028 . -keith_strong@mtd.uscourts.gov an Service: January 2007 Expires; 2015
50	43	 Charles E. Rendien, Ill	N / A	N / A	N / A	N / A	N / A	N / A	N / A
51	44	 Charles E. Rendlen, IN continue, - pistrict Court for the Westem District of Missouri	N / A	N / A	N / A	N / A	N / A	 Associate, The Rendien Law Firm, PC. (1976-1975	N / A
234	45	 Charles L. Brieant	 September 1971	 President Richard M. Nixon	N / A	N / A	N / A	 Partner, Bleakley, Platt & Schmidt (1949-1971)	N / A
171	46	 Charles P. Sifton	 October 12, 1977 :	 President Jimmy Carter	N / A	 Staff Counsel, Committee on Foreign Relations, United States Senate (1962-1964); Assistant United States Attorney, District of New York, United States Department of Justice (1966-1969)	 Chief Judge, United States District Court for the Eastern District of New York (7995-2000); Member, Judicial Council of the Second Circuit (1995-2001); Member, Judicial Conference of the United States (1998-20013	 Associate, Cadwalader, Wickersham & Taft LLP (1961-1962); Associate, Cadwalader, Wickersham & Taft LLP (1964-1966); Partner, LeBoeuf, Lamb, Leiby & MacRae (1969-1977}	 The Association of the Bar of the City of New York
231	47	 Charles S. Haight, Jr.	 May 3, 1976	 President Gerald Ford	N / A	 Trial Attorney, Civil Division, United States Department of	N / A	 Haight, Gardner, Poor & Havens (1976)	 The Association of the Bar of the City of New York; Federal Bar Council; Maritime Law Association of the United States; The New York State Bar Association
297	48	 Charles S. Miller, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
180	49	 Cheryl L. Pollak	 November 1995	N / A	N / A	 Associate, Eastern District of New York, Office of the United	N / A	 Associate, Davis Polk & Wardwell (1979-1986)	 American Bar Association; The Association of the Bar of the City of New York; Federal Bar Council
307	50	 Christopher A. Boyko	 January 4, 2005	 President George W. Bush	N / A	 Chief Prosecutor, Parma	 Common Pleas, Cuyahoga County (1996-2004); ‘Parma Municipal	N / A	N / A
124	51	 Claire C. Cecchi	 2006	N / A	N / A	N / A	N / A	N / A	N / A
305	52	 Dan A. Polster	 August 10, 1998	 President William J. Clinton	N / A	 Trial Attorney, Antitrust Division, United States Department	N / A	N / A	 Criminal Law Committee, Cleveland Bar Association; Federal Bar Association; Jewish Community Federation of Cleveland
23	53	 Dan M. Russell, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
294	54	 Daniel L. Hovland	 Novernber 26, 2002	 President George W. Bush	N / A	 Assistant Adorney General, Office of the Attorney General, State of North Dakota (1980-1983); Commissioner, Office of the Commissioner, Parks and Recreation District, City of Bismarck, North Dakota (1992-2006)	 Administrative Law Judge, Office of Administrative Hearings, State of North Dakota (1994-2602)	 Partner, Fleck, Mather & Strutz (1983-1994); Partner,	N / A
